Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
campbell,umap,150,106,16.563,106,29.345,1,1.229
campbell,pca,150,10,15.463,13,35.389,1,5.611
campbell,isomap,150,84,1.425,756,39.266,10,7.209
campbell,lle,150,80,29.458,752,27.437,9,44.361
campbell,spectral,150,80,56.886,819,49.870,1,36.662
campbell,fa,150,24,24.220,147,49.824,14,7.855
campbell,fica,150,40,42.130,357,7.458,4,52.026
campbell,nmf,150,34,42.141,218,2.930,30,0.199
campbell,lda,150,125,47.914,620,14.132,738,37.502
campbell,isomap,250,85,9.651,758,26.035,13,1.568
campbell,lle,250,78,7.803,749,12.697,13,18.439
campbell,spectral,250,81,26.741,821,35.648,2,35.896
campbell,mds,250,11,54.120,23,17.954,2,30.982
campbell,fa,250,37,30.492,285,32.109,21,3.837
campbell,fica,250,41,15.208,357,4.158,7,8.999
campbell,nmf,250,50,56.355,308,32.680,29,9.044
campbell,lda,250,172,26.270,841,8.846,1042,21.049
campbell,mctsne,250,22,59.386,134,25.134,2,16.886
campbell,umap,175,105,16.413,106,18.669,1,3.173
campbell,pca,175,10,32.036,14,9.448,3,20.432
campbell,isomap,175,95,32.257,780,53.714,41,19.086
campbell,spectral,175,81,14.132,820,38.339,1,20.175
campbell,fa,175,32,10.352,214,21.004,18,14.412
campbell,mds,175,14,54.528,26,24.148,3,41.152
campbell,nmf,175,39,36.903,238,42.378,30,53.416
campbell,fica,175,70,2.953,283,36.690,3,34.891
chen,umap,2,57,59.501,56,35.984,0,30.912
chen,pca,2,5,18.609,5,8.177,0,25.078
chen,isomap,2,29,52.995,233,53.417,1,15.796
chen,lle,2,27,33.095,231,26.055,0,34.578
chen,spectral,2,34,15.713,325,31.741,0,43.082
chen,mds,2,60,5.736,205,10.275,71,0.577
chen,fa,2,8,5.904,8,0.073,1,24.775
chen,fica,2,14,8.105,105,54.192,0,28.788
chen,nmf,2,6,19.531,6,15.520,0,27.831
chen,lda,2,17,32.653,23,47.448,38,32.719
chen,mctsne,2,11,36.091,63,15.472,0,38.821
chen,umap,3,58,19.466,57,7.764,0,30.921
chen,pca,3,5,26.731,5,16.101,0,25.290
chen,isomap,3,30,22.909,234,10.540,1,18.659
chen,lle,3,28,28.690,230,46.793,0,36.005
chen,spectral,3,34,21.810,326,0.520,0,56.254
chen,mds,3,69,55.228,212,19.885,80,52.550
chen,fa,3,7,38.997,7,27.769,1,18.260
chen,fica,3,14,26.435,107,19.949,0,28.630
chen,nmf,3,6,5.586,6,1.320,0,27.763
chen,lda,3,20,40.335,39,7.858,114,24.321
chen,mctsne,3,12,20.745,66,13.044,0,33.609
chen,umap,4,58,6.761,56,53.564,0,31.421
chen,pca,4,5,27.402,5,14.473,0,27.205
chen,isomap,4,31,17.938,233,19.772,1,26.357
chen,lle,4,28,37.613,230,56.074,0,36.625
chen,spectral,4,34,28.993,324,53.278,0,55.763
chen,mds,4,51,5.756,101,41.327,33,23.706
chen,fa,4,7,41.251,7,34.524,1,13.796
chen,fica,4,14,18.374,106,22.144,0,30.026
chen,nmf,4,6,32.294,6,29.092,0,27.665
chen,lda,4,18,24.460,39,47.728,120,24.923
chen,mctsne,4,14,22.459,72,19.834,1,10.376
chen,umap,5,74,54.401,73,19.383,0,48.845
chen,pca,5,5,32.186,5,20.288,0,25.378
chen,isomap,5,31,54.289,233,36.191,1,21.631
chen,lle,5,29,12.189,231,12.159,0,34.792
chen,spectral,5,34,3.139,325,49.052,0,50.676
chen,mds,5,52,49.146,154,17.043,43,53.548
chen,fa,5,7,53.071,7,49.131,1,21.195
chen,fica,5,14,35.729,108,11.321,0,28.954
chen,nmf,5,6,34.593,6,31.089,0,27.965
chen,lda,5,19,20.261,43,19.684,125,21.672
chen,mctsne,5,17,54.285,86,16.610,1,31.114
chen,umap,8,57,54.194,56,22.073,0,31.388
chen,pca,8,5,26.520,5,15.822,0,25.108
chen,isomap,8,30,24.596,233,19.974,1,33.664
chen,lle,8,27,51.358,231,25.946,0,37.481
